mode,gpus,gpus_per_node,util,algo,dvfs_on,theta,aver_run_E,min_run_E,max_run_E,aver_idle_E,min_idle_E,max_idle_E,aver_turnon_E,min_turnon_E,max_turnon_E,aver_total_E,min_total_E,max_total_E
offline,2048,1,0.4,edf+bf,0,1.0,24252145.372005,24094406.291893,24409884.452117,0.0,0.0,0.0,50600.0,49780.196481,51419.803519,24302745.372005,24145050.520495,24460440.223515
offline,2048,1,0.4,edf+bf,1,1.0,16097092.541446,15987865.213897,16206319.868994,0.0,0.0,0.0,63220.0,62008.132243,64431.867757,16160312.541446,16051458.875916,16269166.206975
offline,2048,1,0.4,edf+spt,0,1.0,24252145.372005,24094406.291893,24409884.452117,0.0,0.0,0.0,60780.0,59953.857889,61606.142111,24312925.372005,24155300.439613,24470550.304396
offline,2048,1,0.4,edf+spt,1,1.0,16097092.541446,15987865.213897,16206319.868994,0.0,0.0,0.0,74810.0,73809.591246,75810.408754,16171902.541446,16063043.071719,16280762.011172
offline,2048,1,0.4,edf+wf,0,1.0,24252145.372005,24094406.291893,24409884.452117,0.0,0.0,0.0,51410.0,50551.889375,52268.110625,24303555.372005,24145977.695921,24461133.048089
offline,2048,1,0.4,edf+wf,1,1.0,16097092.541446,15987865.213897,16206319.868994,0.0,0.0,0.0,63610.0,62393.610938,64826.389062,16160702.541446,16051837.325903,16269567.756988
offline,2048,1,0.4,lpt+ff,0,1.0,24252145.372005,24094406.291893,24409884.452117,0.0,0.0,0.0,83220.0,81960.035369,84479.964631,24335365.372005,24177776.681519,24492954.06249
offline,2048,1,0.4,lpt+ff,1,1.0,16097092.541446,15987865.213897,16206319.868994,0.0,0.0,0.0,102110.0,100919.484149,103300.515851,16199202.541446,16090215.037397,16308190.045494
offline,2048,2,0.4,edf+bf,0,1.0,24252145.372005,24094406.291893,24409884.452117,850970.4,819232.392076,882708.407924,25350.0,24938.007205,25761.992795,25128465.772005,24963060.546227,25293870.997783
offline,2048,2,0.4,edf+bf,1,1.0,16097092.541446,15987865.213897,16206319.868994,1147444.0,1106912.057047,1187975.942953,31670.0,31064.533457,32275.466543,17276206.541446,17158764.274384,17393648.808507
offline,2048,2,0.4,edf+spt,0,1.0,24252145.372005,24094406.291893,24409884.452117,654674.3,637750.627277,671597.972723,32420.0,31927.509906,32912.490094,24939239.672005,24779125.849504,25099353.494506
