mode,gpus,gpus_per_node,util,algo,dvfs_on,theta,aver_run_E,min_run_E,max_run_E,aver_idle_E,min_idle_E,max_idle_E,aver_turnon_E,min_turnon_E,max_turnon_E,aver_total_E,min_total_E,max_total_E
offline,2048,4,0.6,edf+wf,0,1.0,50507826.45,47971953.0,52536831.0,5318624.25,3809870.0,6318985.0,20014.0,18000.0,22200.0,55846464.7,53014109.0,57945470.0
offline,2048,4,0.6,lpt+ff,0,1.0,50507826.45,47971953.0,52536831.0,1560223.45,1017195.0,2108765.0,30984.0,29000.0,33200.0,52099033.9,49373718.0,54145876.0
offline,2048,8,0.6,edf+bf,0,1.0,50507826.45,47971953.0,52536831.0,6091104.25,5038460.0,7261975.0,9340.0,8600.0,10200.0,56608270.7,53516698.0,58549016.0
offline,2048,8,0.6,edf+spt,0,1.0,50507826.45,47971953.0,52536831.0,4436956.65,3854155.0,5060135.0,12002.0,11000.0,13000.0,54956785.1,52890698.0,57148296.0
offline,2048,8,0.6,edf+wf,0,1.0,50507826.45,47971953.0,52536831.0,8254979.85,6418350.0,9841810.0,10808.0,9400.0,12200.0,58773614.3,55583512.0,60755693.0
offline,2048,8,0.6,lpt+ff,0,1.0,50507826.45,47971953.0,52536831.0,2912056.65,2115225.0,3721300.0,15536.0,14600.0,16600.0,53435419.1,50535058.0,55680256.0
offline,2048,16,0.8,edf+bf,0,1.0,67462402.92,64969557.0,69721224.0,10496153.6,8884285.0,12563340.0,6306.0,5800.0,6600.0,77964862.52,75353373.0,80862658.0
offline,2048,16,0.8,edf+spt,0,1.0,67462402.92,64969557.0,69721224.0,7313291.2,6369560.0,8605315.0,8254.0,7600.0,8800.0,74783948.12,72591917.0,77624069.0
offline,2048,16,0.8,edf+wf,0,1.0,67462402.92,64969557.0,69721224.0,13718619.2,8689635.0,17419815.0,7578.0,6400.0,8400.0,81188600.12,76169345.0,85771554.0
offline,2048,16,0.8,lpt+ff,0,1.0,67462402.92,64969557.0,69721224.0,5447194.4,4375205.0,6502500.0,10446.0,10000.0,11000.0,72920043.32,69795637.0,75509274.0
